UFSigla;gtap;elasticities
MS;38.0;1.6378508331288382
MS;39.0;-3.4305798595497836
MS;40.0;7.397944885678168
MS;41.0;1.5714857283722576
MS;42.0;1.7577465402396761
MS;43.0;2.47280443166936
MS;44.0;-0.12511749447672216
MS;45.0;3.724623831280212
MS;46.0;0.9785131126456585
MS;47.0;1.123369311841019
MS;48.0;1.347135206871318
MS;49.0;0.463245839385225
MS;50.0;1.13198074746607
MS;51.0;1.2328510032599613
MS;52.0;0.624825626402064
MS;53.0;0.46536200314668896
MS;54.0;1.2715330512448482
MS;55.0;1.1471729564002757
MS;56.0;0.8684807074151273
MS;57.0;1.579679556806429
MT;1.0;-1.8563282329944428
MT;2.0;13.428565939773696
MT;3.0;0.9211559429564744
MT;4.0;3.0102589996581344
MT;5.0;-0.6318808503747029
MT;6.0;2.189816222383058
MT;7.0;0.7823284897485188
MT;8.0;6.522238966750308
MT;9.0;3.817537438187287
MT;10.0;5.259753600017376
MT;11.0;26.848222568585868
MT;12.0;-1.7524379730757573
MT;13.0;3.5510966433319293
MT;14.0;-1.828719541349212
MT;15.0;-6.93165156397523
MT;18.0;-0.050958914677920575
MT;19.0;1.1419991747217768
MT;20.0;2.4951252943043016
MT;21.0;2.0212285751031
MT;22.0;1.0985664594233064
MT;23.0;-0.4878241499975573
MT;24.0;-1.4907422950086797
MT;25.0;3.3902868881341544
MT;26.0;2.004649252563944
MT;27.0;1.3328486692123311
MT;28.0;2.6744053487812565
MT;29.0;3.8239362079729213
MT;30.0;0.21056504341492221
MT;31.0;2.0724874030486973
MT;32.0;0.2773831616087339
MT;33.0;3.151172127643397
MT;34.0;1.3060857078830033
MT;35.0;0.9346914205469901
MT;36.0;-6.630676878377641
MT;37.0;1.5669912668382118
MT;38.0;1.4911877069932524
MT;39.0;0.9596576341270864
MT;40.0;2.2622655392379105
MT;41.0;3.311806910229331
MT;42.0;2.3041423059200667
MT;43.0;2.140221893270841
MT;44.0;1.549696902533428
MT;45.0;8.508523113307568
MT;46.0;1.303669174239582
MT;47.0;1.3291652708877706
MT;48.0;1.5705713036207953
MT;49.0;0.3371268298733683
MT;50.0;1.2173691822171913
MT;51.0;1.001739348187396
MT;52.0;1.5670373627743146
MT;53.0;1.5894240410736948
MT;54.0;1.705008939356695
MT;55.0;1.5865924676555814
MT;56.0;0.7087410216726653
MT;57.0;1.2310293605899236
PA;1.0;-4.629292284162446
PA;2.0;33.66529725320597
PA;3.0;2.5615968045648714
PA;4.0;1.429774312696182
PA;5.0;-2.7787356806720123
PA;7.0;-13.501456660860438
PA;8.0;6.077873569987872
PA;9.0;3.592415826405272
PA;10.0;3.5687992824665216
PA;11.0;5.121273247347062
PA;12.0;1.0146276048798106
PA;13.0;0.05866243198819587
PA;14.0;0.11936665506782163
PA;15.0;13.70249514947249
PA;16.0;1.7886570533173547
PA;18.0;2.1232678592524934
PA;19.0;1.495608876943134
PA;20.0;1.2540285177173107
PA;21.0;0.5044499286477553
PA;22.0;1.425717878459066
PA;23.0;-1.966373646021644
PA;24.0;-6.081268655723374
PA;25.0;0.3492231927303777
PA;26.0;0.4481967487582623
PA;27.0;2.9519942672323483
PA;28.0;1.8378460300073183
PA;29.0;3.6852942989923987
PA;30.0;-0.5620667154962238
PA;31.0;1.6193304619635036
PA;32.0;-0.09208854744231942
PA;33.0;4.6384533089542135
PA;34.0;1.545275325157501
PA;35.0;1.9641656418323912
PA;36.0;0.6440965677476207
PA;37.0;2.440552306484017
PA;38.0;0.4230550465098535
PA;39.0;1.9905483482050643
PA;40.0;2.1142484422089405
PA;41.0;2.6059698296799
PA;42.0;2.26519420663414
PA;43.0;-1.0241758386306756
PA;44.0;1.172366301696029
PA;45.0;2.3139655592263892
PA;46.0;1.404880116696697
PA;47.0;1.2681588976834703
PA;48.0;1.1710816867872396
PA;49.0;0.46691614210308785
PA;50.0;1.81320868730886
PA;51.0;0.771016890703903
PA;52.0;1.5030420817992045
PA;53.0;0.8004137366981308
PA;54.0;1.6567648027079507
PA;55.0;1.3639809259382094
PA;56.0;1.4307005621827678
PA;57.0;1.9423587408570002
PB;1.0;-17.68132200341931
PB;3.0;2.654174803890875
PB;4.0;0.7306137360516232
PB;5.0;1.521202870079133
PB;6.0;1.5943080381954076
PB;7.0;0.02740115963259626
PB;8.0;38.16864234066968
PB;9.0;3.6625168001584427
PB;10.0;2.4478153904580466
PB;11.0;-20.124087217642625
PB;12.0;-1.6180294503702752
PB;13.0;0.2665807417816888
PB;14.0;1.9968098520471074
PB;15.0;-1.7741499676779933
PB;16.0;1.1239489587908498
PB;18.0;-0.9415831850376861
PB;19.0;3.926010721202168
PB;20.0;6.203182686991587
PB;21.0;-0.13499042763316993
PB;22.0;1.9012498874904278
PB;23.0;6.664836295869456
PB;24.0;1.5505298225067854
PB;25.0;1.215006667459165
PB;26.0;0.044219181787038764
PB;27.0;0.2036612172002279
PB;28.0;1.6474167980443344
PB;29.0;0.4170939784712884
PB;30.0;3.341418840005778
PB;31.0;-0.5196895349111053
PB;32.0;-0.11041231168538346
PB;33.0;1.5061526965423049
PB;34.0;1.3803177368500776
PB;35.0;1.2019972679006372
PB;36.0;0.28285882583795363
PB;37.0;1.806483995995305
PB;38.0;2.241041331743184
PB;39.0;6.244311882905655
PB;40.0;-1.1463321443428125
PB;41.0;0.7766362244359604
PB;42.0;1.4978486634750716
PB;43.0;1.609223657071766
PB;44.0;1.9957869409220552
PB;45.0;2.0156084921630253
PB;46.0;1.4248928301669705
PB;47.0;1.52967559782768
PB;48.0;0.9549106255677948
PB;49.0;0.47716040163514517
PB;50.0;1.8328642787202583
PB;51.0;0.5357730074727645
PB;52.0;1.2999350720438478
PB;53.0;1.1011372050472552
PB;54.0;1.7146064373456618
PB;55.0;1.749851025015488
PB;56.0;1.023896402497936
PB;57.0;2.4926245938123044
PE;1.0;-7.568916343988548
PE;2.0;0.0
PE;3.0;-16.402298487412196
PE;4.0;0.0024050861426587744
PE;5.0;1.4897268105262356
PE;6.0;-1.3432629079251512
PE;7.0;0.9208047880623482
PE;8.0;1.593302903261275
PE;9.0;1.3610187989997087
PE;10.0;0.9720852906554143
PE;11.0;4.129644449287241
PE;12.0;3.2317985558994806
PE;13.0;7.815861833138366
PE;14.0;-2.1114977142434057
PE;15.0;-38.42435729583693
PE;16.0;1.1302880708023402
PE;18.0;1.4979343416595157
PE;19.0;4.216733879533584
PE;20.0;1.515134939967382
PE;21.0;0.15559540497349467
PE;22.0;1.4815748720325992
PE;23.0;2.4369188582335752
PE;24.0;0.45561168062609525
PE;25.0;1.1417462646232428
PE;26.0;1.2194884566903659
PE;27.0;2.103655366183008
PE;28.0;1.900146159282217
PE;29.0;1.8320294858488229
PE;30.0;3.199432817350629
PE;31.0;2.776424145796227
PE;32.0;0.6436128535195778
PE;33.0;0.8665351699810877
PE;34.0;1.1017256703970553
PE;35.0;2.5306430109259974
PE;36.0;1.053638849730369
PE;37.0;1.597551977832957
PE;38.0;0.8057584460595333
PE;39.0;8.189079298881158
PE;40.0;0.7389744010764563
PE;41.0;2.9267246289834414
PE;42.0;1.6074144648891853
PE;43.0;5.33114883409371
PE;44.0;3.60041045408503
PE;45.0;1.302383230638469
PE;46.0;1.5077833952155641
PE;47.0;1.2671931236146783
PE;48.0;1.4963007188406259
PE;49.0;0.9734611356178533
PE;50.0;1.3095774366830248
PE;51.0;1.481076734077364
PE;52.0;1.3442469709542806
PE;53.0;0.8234904922075366
PE;54.0;1.1281793014763473
PE;55.0;1.280418534242525
PE;56.0;1.2182926170926933
PE;57.0;1.3999309100705961
PI;1.0;-5.2200352905321665
PI;2.0;0.0
PI;3.0;4.57314624982439
PI;4.0;-4.054489980869619
PI;5.0;2.6305634683816574
